RANGO DE NUMEROS;NUMEROS PRIMOS;DURACION
243000000 a 244000000;51704;152,71833634376526
244000000 a 245000000;52040;157,525484085083
245000000 a 246000000;51723;158,9606649875641
246000000 a 247000000;51693;158,33039569854736
247000000 a 248000000;51695;158,82952332496643
248000000 a 249000000;51780;162,33361172676086
249000000 a 250000000;51767;158,24319458007812
250000000 a 251000000;51732;162,06487250328064
251000000 a 252000000;51632;170,90374183654785
252000000 a 253000000;51679;161,7448432445526
253000000 a 254000000;51722;169,41133093833923
254000000 a 255000000;51734;165,06117177009583
255000000 a 256000000;51720;177,75204610824585
256000000 a 257000000;51447;185,394549369812
257000000 a 258000000;51731;179,27431392669678
258000000 a 259000000;51595;206,71038246154785
259000000 a 260000000;51550;204,1662540435791
260000000 a 261000000;51711;234,08621764183044
261000000 a 262000000;51581;224,14470767974854
262000000 a 263000000;51799;228,07518768310547
263000000 a 264000000;51268;220,76826310157776
264000000 a 265000000;51566;211,72443747520447
265000000 a 266000000;51807;204,15217900276184
266000000 a 267000000;51294;197,4247055053711
267000000 a 268000000;51562;191,69066715240479
268000000 a 269000000;51595;188,62974882125854
269000000 a 270000000;51341;185,6866946220398
270000000 a 271000000;51478;187,10991740226746
271000000 a 272000000;51352;188,5534098148346
272000000 a 273000000;51483;189,13896465301514
273000000 a 274000000;51598;188,55795192718506
274000000 a 275000000;51551;188,0787148475647
275000000 a 276000000;51521;188,20388770103455
276000000 a 277000000;51450;188,87632203102112
277000000 a 278000000;51450;189,06066346168518
278000000 a 279000000;51311;188,41287875175476
279000000 a 280000000;51491;190,2135751247406
280000000 a 281000000;51407;191,23631048202515
281000000 a 282000000;51538;189,3009476661682
282000000 a 283000000;51262;191,54600858688354
283000000 a 284000000;51398;192,79165387153625
284000000 a 285000000;51207;189,33383321762085
285000000 a 286000000;51331;190,5904986858368
286000000 a 287000000;51190;189,94634461402893
287000000 a 288000000;51441;193,52917981147766
288000000 a 289000000;51386;193,76999402046204
289000000 a 290000000;51434;194,00392246246338
290000000 a 291000000;51175;191,09914016723633
291000000 a 292000000;51343;193,85525584220886
292000000 a 293000000;51289;191,0159387588501
293000000 a 294000000;51410;195,97807908058167
294000000 a 295000000;51322;195,9845654964447
295000000 a 296000000;51096;192,4994924068451
296000000 a 297000000;51299;194,41673684120178
297000000 a 298000000;51346;193,54115223884583
298000000 a 299000000;51024;194,6247022151947
299000000 a 300000000;51358;197,07921957969666
300000000 a 301000000;51300;195,85198211669922
301000000 a 302000000;51257;195,81156182289124
302000000 a 303000000;51111;195,36069130897522
303000000 a 304000000;51071;196,82038927078247
304000000 a 305000000;51360;197,93192553520203
305000000 a 306000000;51183;198,25000643730164
306000000 a 307000000;51182;198,43251085281372
307000000 a 308000000;51180;196,34020471572876
308000000 a 309000000;51355;197,9589204788208
309000000 a 310000000;51197;197,88667941093445
310000000 a 311000000;51117;197,47304320335388
311000000 a 312000000;50992;198,6704342365265
312000000 a 313000000;51252;199,16805839538574
313000000 a 314000000;51079;198,47055053710938
314000000 a 315000000;51082;200,61267471313477
315000000 a 316000000;51090;197,73648238182068
316000000 a 317000000;51083;201,6713409423828
317000000 a 318000000;51096;201,88129544258118
318000000 a 319000000;50876;200,28814220428467
319000000 a 320000000;51018;202,17207288742065
320000000 a 321000000;51106;202,3758566379547
321000000 a 322000000;50896;202,64022254943848
322000000 a 323000000;51084;202,9824104309082
323000000 a 324000000;51141;203,02429914474487
324000000 a 325000000;50905;204,50079917907715
325000000 a 326000000;51046;204,24702310562134
326000000 a 327000000;51069;205,01199579238892
327000000 a 328000000;51094;204,6634383201599
328000000 a 329000000;50818;204,85950016975403
329000000 a 330000000;51110;205,63872408866882
330000000 a 331000000;50717;205,79601120948792
331000000 a 332000000;50996;210,19997692108154
332000000 a 333000000;51080;208,88333106040955
333000000 a 334000000;50908;201,58618664741516
334000000 a 335000000;50971;201,56915855407715
335000000 a 336000000;50854;208,24318599700928
336000000 a 337000000;50871;208,2766089439392
337000000 a 338000000;50904;210,90932869911194
338000000 a 339000000;50998;207,2171003818512
339000000 a 340000000;50831;228,0967197418213
340000000 a 341000000;51115;225,20567345619202
341000000 a 342000000;50907;244,80573678016663
342000000 a 343000000;50785;242,02067303657532
343000000 a 344000000;50958;244,88630509376526
344000000 a 345000000;50971;224,17469096183777
345000000 a 346000000;50860;224,98028588294983
346000000 a 347000000;50855;221,12181401252747
347000000 a 348000000;50660;221,7163119316101
348000000 a 349000000;50699;220,9324185848236
349000000 a 350000000;51111;213,80126357078552
350000000 a 351000000;50743;201,10098457336426
351000000 a 352000000;50722;212,0319697856903
352000000 a 353000000;50906;207,2480504512787
353000000 a 354000000;50780;201,95473957061768
354000000 a 355000000;50860;206,49476671218872
355000000 a 356000000;50766;213,15117764472961
356000000 a 357000000;50763;209,54528713226318
357000000 a 358000000;50761;209,0201814174652
358000000 a 359000000;50806;211,69655680656433
359000000 a 360000000;50655;212,8160285949707
360000000 a 361000000;50552;209,37929725646973
361000000 a 362000000;50727;206,0571093559265
362000000 a 363000000;50787;193,46776509284973
363000000 a 364000000;50795;199,63674330711365
364000000 a 365000000;50661;199,90073156356812
365000000 a 366000000;50812;200,65860724449158
366000000 a 367000000;50816;198,13736176490784
367000000 a 368000000;50720;197,54305863380432
368000000 a 369000000;50627;189,85614347457886
369000000 a 370000000;50620;191,2832944393158
370000000 a 371000000;50471;191,23179483413696
371000000 a 372000000;50761;190,2689869403839
372000000 a 373000000;50571;190,31140184402466
373000000 a 374000000;50598;190,1757574081421
374000000 a 375000000;50948;191,2841818332672
375000000 a 376000000;50737;191,2222626209259
376000000 a 377000000;50748;198,44873762130737
377000000 a 378000000;50778;203,237163066864
378000000 a 379000000;50710;196,3546760082245
379000000 a 380000000;50646;204,50998640060425
380000000 a 381000000;50762;201,96661972999573
381000000 a 382000000;50606;201,57412481307983
382000000 a 383000000;50621;196,12430477142334
383000000 a 384000000;50444;189,53796648979187
384000000 a 385000000;50654;191,69966459274292
385000000 a 386000000;50422;197,66288113594055
386000000 a 387000000;50575;204,30303120613098
387000000 a 388000000;50707;203,9877369403839
388000000 a 389000000;50478;198,24421787261963
389000000 a 390000000;50568;206,0776071548462
390000000 a 391000000;50401;204,64692974090576
391000000 a 392000000;50533;208,3429892063141
392000000 a 393000000;50697;206,74029231071472
393000000 a 394000000;50340;194,23080945014954
394000000 a 395000000;50604;191,21597003936768
395000000 a 396000000;50502;196,28525614738464
396000000 a 397000000;50395;194,44516944885254
397000000 a 398000000;50580;196,01860332489014
398000000 a 399000000;50355;195,5593385696411
399000000 a 400000000;50709;196,37222599983215
400000000 a 401000000;50426;197,59731006622314
401000000 a 402000000;50407;198,1460256576538
402000000 a 403000000;50482;202,64056253433228
403000000 a 404000000;50479;197,9778299331665
404000000 a 405000000;50470;198,4072391986847
405000000 a 406000000;50559;197,10319304466248
406000000 a 407000000;50441;197,5848777294159
407000000 a 408000000;50360;197,6994981765747
408000000 a 409000000;50410;198,5856854915619
409000000 a 410000000;50353;200,64275670051575
410000000 a 411000000;50501;198,88142204284668
411000000 a 412000000;50360;200,34841656684875
412000000 a 413000000;50423;199,4732894897461
413000000 a 414000000;50408;201,21610641479492
414000000 a 415000000;50420;200,36039423942566
415000000 a 416000000;50399;200,27217936515808
416000000 a 417000000;50424;200,6951243877411
417000000 a 418000000;50383;198,64447617530823
418000000 a 419000000;50311;203,2403438091278
419000000 a 420000000;50137;205,49381375312805
420000000 a 421000000;50385;202,9979772567749
421000000 a 422000000;50446;201,8107452392578
422000000 a 423000000;50288;204,84037613868713
423000000 a 424000000;50420;230,37742567062378
424000000 a 425000000;50490;238,56931829452515
425000000 a 426000000;50431;203,61283540725708
426000000 a 427000000;50151;212,8228554725647
427000000 a 428000000;50305;212,12014317512512
428000000 a 429000000;50385;211,48340225219727
429000000 a 430000000;50270;218,74379515647888
430000000 a 431000000;50310;221,50507879257202
431000000 a 432000000;50191;220,7149157524109
432000000 a 433000000;50245;202,3859987258911
433000000 a 434000000;50168;198,32168054580688
434000000 a 435000000;50477;196,99436473846436
435000000 a 436000000;50215;197,38468146324158
436000000 a 437000000;50194;197,15507340431213
437000000 a 438000000;50250;199,95143055915833
438000000 a 439000000;50374;197,89944672584534
439000000 a 440000000;50081;198,98558402061462
440000000 a 441000000;50401;200,15197086334229
441000000 a 442000000;50264;199,02425074577332
442000000 a 443000000;50407;198,61302733421326
443000000 a 444000000;50197;205,27393531799316
444000000 a 445000000;50211;222,84631848335266
445000000 a 446000000;50031;224,78364849090576
446000000 a 447000000;50312;224,4411382675171
447000000 a 448000000;50289;224,0659670829773
448000000 a 449000000;50167;226,4046766757965
449000000 a 450000000;50204;227,85067701339722
450000000 a 451000000;50118;225,12101531028748
451000000 a 452000000;50222;225,18424081802368
452000000 a 453000000;50082;227,39805579185486
453000000 a 454000000;50275;226,32679796218872
454000000 a 455000000;50110;224,92237663269043
455000000 a 456000000;50268;227,7440423965454
456000000 a 457000000;50326;228,4876389503479
457000000 a 458000000;49854;225,73289942741394
458000000 a 459000000;50115;227,9460334777832
459000000 a 460000000;50140;213,22031140327454
460000000 a 461000000;50082;242,79214763641357
461000000 a 462000000;50122;354,6698160171509
462000000 a 463000000;50254;357,8795335292816
463000000 a 464000000;50190;260,2757682800293
464000000 a 465000000;49975;250,23953676223755
465000000 a 466000000;50199;245,45476913452148
466000000 a 467000000;50191;216,71103286743164
467000000 a 468000000;50152;209,3660922050476
468000000 a 469000000;50075;208,90192818641663
469000000 a 470000000;49930;209,21196937561035
470000000 a 471000000;50123;210,2485227584839
471000000 a 472000000;50181;221,6437747478485
472000000 a 473000000;49846;228,5896863937378
473000000 a 474000000;50054;228,10674667358398
474000000 a 475000000;49908;234,1997389793396
475000000 a 476000000;50066;236,6467249393463
476000000 a 477000000;50051;233,6710910797119
477000000 a 478000000;50224;241,9134328365326
478000000 a 479000000;50033;264,9739615917206
479000000 a 480000000;50220;285,2629339694977
480000000 a 481000000;50001;276,0354256629944
481000000 a 482000000;49949;247,13247513771057
482000000 a 483000000;49960;254,016343832016
483000000 a 484000000;50017;267,5393080711365
484000000 a 485000000;50090;237,80360198020935
485000000 a 486000000;50019;234,18338775634766
486000000 a 487000000;49956;214,26982426643372
487000000 a 488000000;50011;224,79536819458008
488000000 a 489000000;49816;223,1743426322937
489000000 a 490000000;50125;225,43235540390015
490000000 a 491000000;49937;239,61545300483704
491000000 a 492000000;49896;258,456906080246
492000000 a 493000000;50009;239,20483922958374
493000000 a 494000000;50042;218,11914038658142
494000000 a 495000000;49855;219,5475971698761
495000000 a 496000000;50127;215,61968207359314
496000000 a 497000000;49885;256,6607520580292
497000000 a 498000000;49965;233,12023520469666
498000000 a 499000000;49894;250,96418237686157
499000000 a 500000000;49889;260,4484033584595
500000000 a 501000000;49918;237,01296591758728
501000000 a 502000000;49758;260,8033969402313
502000000 a 503000000;49591;259,66244888305664
503000000 a 504000000;50038;249,0606119632721
504000000 a 505000000;49851;224,03105401992798
505000000 a 506000000;49806;235,8640480041504
506000000 a 507000000;49925;225,02549028396606
507000000 a 508000000;49813;226,3364918231964
508000000 a 509000000;49821;227,12338709831238
509000000 a 510000000;49864;227,33076643943787
510000000 a 511000000;49651;228,46354722976685
511000000 a 512000000;49919;228,47064757347107
512000000 a 513000000;49842;228,2814667224884
513000000 a 514000000;49799;230,19353890419006
514000000 a 515000000;49667;226,71739792823792
515000000 a 516000000;49794;226,57972025871277
516000000 a 517000000;50077;228,1563799381256
517000000 a 518000000;49948;231,1288936138153
518000000 a 519000000;49867;229,10682654380798
519000000 a 520000000;49871;235,99880027770996
520000000 a 521000000;49694;231,7460732460022
521000000 a 522000000;49806;237,36466312408447
522000000 a 523000000;49760;231,2494900226593
523000000 a 524000000;49894;228,88493585586548
524000000 a 525000000;49765;232,64827847480774
525000000 a 526000000;49707;229,53174448013306
526000000 a 527000000;49880;228,22713112831116
527000000 a 528000000;49953;229,83346366882324
528000000 a 529000000;49792;229,35882997512817
529000000 a 530000000;49760;231,62465000152588
530000000 a 531000000;49734;234,92602729797363
531000000 a 532000000;49727;233,34695672988892
532000000 a 533000000;49823;238,9953989982605
533000000 a 534000000;49771;231,04898381233215
534000000 a 535000000;49691;243,0666525363922
535000000 a 536000000;49887;246,69353985786438
536000000 a 537000000;49789;238,02674412727356
537000000 a 538000000;49789;234,41377973556519
538000000 a 539000000;49694;234,3535966873169
539000000 a 540000000;49778;243,6551034450531
540000000 a 541000000;49746;236,24502158164978
541000000 a 542000000;49647;236,81356024742126
542000000 a 543000000;49639;233,0220925807953
543000000 a 544000000;49572;236,1590781211853
544000000 a 545000000;49664;232,10948944091797
545000000 a 546000000;49811;235,65554428100586
546000000 a 547000000;49558;231,70702290534973
547000000 a 548000000;49833;234,05963516235352
548000000 a 549000000;49735;231,22785186767578
549000000 a 550000000;49770;234,0832552909851
550000000 a 551000000;49864;235,18140387535095
551000000 a 552000000;49740;235,1614625453949
552000000 a 553000000;49807;232,11263847351074
553000000 a 554000000;49707;234,4128658771515
554000000 a 555000000;49520;237,8460178375244
555000000 a 556000000;49623;236,0160322189331
556000000 a 557000000;49639;236,31185865402222
557000000 a 558000000;49725;236,2000961303711
558000000 a 559000000;49687;238,75925469398499
559000000 a 560000000;49482;235,63506269454956
560000000 a 561000000;49641;238,7356572151184
561000000 a 562000000;49705;237,93196439743042
562000000 a 563000000;49623;238,0157551765442
563000000 a 564000000;49685;233,06181263923645
564000000 a 565000000;49550;236,00103950500488
565000000 a 566000000;49579;234,8640604019165
566000000 a 567000000;49551;240,3974905014038
567000000 a 568000000;49656;236,1447331905365
568000000 a 569000000;49698;239,45278763771057
569000000 a 570000000;49448;238,17647671699524
570000000 a 571000000;49569;235,68696355819702
571000000 a 572000000;49552;240,6934733390808
572000000 a 573000000;49659;237,43125939369202
573000000 a 574000000;49665;235,35292267799377
574000000 a 575000000;49571;251,58922934532166
575000000 a 576000000;49505;252,4399664402008
576000000 a 577000000;49653;253,6004376411438
577000000 a 578000000;49521;248,5941128730774
578000000 a 579000000;49473;243,11844182014465
579000000 a 580000000;49721;243,94114303588867
580000000 a 581000000;49547;243,4790759086609
581000000 a 582000000;49462;244,28930568695068
582000000 a 583000000;49739;245,1879105567932
583000000 a 584000000;49603;243,9689426422119
584000000 a 585000000;49329;247,28399276733398
585000000 a 586000000;49515;245,33005380630493
586000000 a 587000000;49507;244,7573642730713
587000000 a 588000000;49533;244,3877296447754
588000000 a 589000000;49393;248,301335811615
589000000 a 590000000;49741;245,70810961723328
590000000 a 591000000;49677;249,69738960266113
591000000 a 592000000;49626;257,5307791233063
592000000 a 593000000;49415;260,3514702320099
593000000 a 594000000;49487;254,28469038009644
594000000 a 595000000;49473;251,3725459575653
595000000 a 596000000;49781;250,96550512313843
596000000 a 597000000;49581;252,5731954574585
597000000 a 598000000;49332;254,388352394104
598000000 a 599000000;49417;248,99395370483398
599000000 a 600000000;49370;253,02184748649597
600000000 a 601000000;49623;270,937331199646
601000000 a 602000000;49443;277,7699284553528
602000000 a 603000000;49477;281,9524347782135
603000000 a 604000000;49756;268,6243472099304
604000000 a 605000000;49477;257,87450981140137
605000000 a 606000000;49207;267,10393810272217
606000000 a 607000000;49509;279,0121064186096
607000000 a 608000000;49433;270,3360939025879
608000000 a 609000000;49418;262,6038773059845
609000000 a 610000000;49398;259,68329095840454
610000000 a 611000000;49432;258,4124252796173
611000000 a 612000000;49338;260,0555031299591
612000000 a 613000000;49620;258,5641450881958
613000000 a 614000000;49365;260,4280698299408
614000000 a 615000000;49472;260,44890117645264
615000000 a 616000000;49439;266,1596210002899
616000000 a 617000000;49287;263,03065061569214
617000000 a 618000000;49084;280,1815757751465
618000000 a 619000000;49419;274,378130197525
619000000 a 620000000;49488;310,38734245300293
620000000 a 621000000;49389;303,6883180141449
621000000 a 622000000;49317;293,956228017807
622000000 a 623000000;49310;288,4278178215027
623000000 a 624000000;49446;304,25438618659973
624000000 a 625000000;49485;311,6668953895569
625000000 a 626000000;49220;277,01724767684937
626000000 a 627000000;49431;311,31455063819885
627000000 a 628000000;49619;303,5235390663147
628000000 a 629000000;49319;310,62766122817993
629000000 a 630000000;49305;300,0621840953827
630000000 a 631000000;49294;282,1448721885681
631000000 a 632000000;49446;269,07950019836426
632000000 a 633000000;49147;286,798805475235
633000000 a 634000000;49285;287,6227238178253
634000000 a 635000000;49407;282,3088171482086
635000000 a 636000000;49380;280,11613726615906
636000000 a 637000000;49382;288,66897988319397
637000000 a 638000000;49365;278,1435570716858
638000000 a 639000000;49261;285,3779847621918
639000000 a 640000000;49254;280,36762833595276
640000000 a 641000000;49513;302,27899742126465
641000000 a 642000000;49218;292,4712154865265
642000000 a 643000000;49274;280,21442770957947
643000000 a 644000000;49204;282,70249605178833
644000000 a 645000000;49098;280,0227429866791
645000000 a 646000000;49503;280,48702573776245
646000000 a 647000000;49213;265,2637960910797
647000000 a 648000000;49400;266,1703929901123
648000000 a 649000000;49257;268,2186667919159
649000000 a 650000000;49265;267,3016188144684
650000000 a 651000000;49427;266,5213785171509
651000000 a 652000000;49171;268,5122079849243
652000000 a 653000000;49293;270,1743574142456
653000000 a 654000000;49322;303,96792364120483
654000000 a 655000000;49183;319,5884680747986
655000000 a 656000000;49200;316,1614918708801
656000000 a 657000000;49320;310,7288088798523
657000000 a 658000000;49323;325,4118480682373
658000000 a 659000000;49222;297,1097996234894
659000000 a 660000000;49314;311,97473430633545
660000000 a 661000000;49291;311,10380268096924
661000000 a 662000000;49327;295,0693390369415
662000000 a 663000000;49199;297,9266333580017
663000000 a 664000000;49333;276,561635017395
